date:2026-07-09 15:32:07.438	thread:http-nio-8082-exec-125	X-Track:9e6ecb96-bd13-45b6-81ad-71f3e84bccd6	level:INFO 	logger:j.o.k.seikyusien.interceptor.LoggingInterceptor 	message:AP処理開始 POST /ON_SeikyuKakutei param: seiqkbn=1, seiqiraino=5071101000000031001, transactionid=20d25203-19f6-4d1c-b30b-5debec00629f, irainaiyoukbn=2, filename=202612_15071101000000031001.zip
date:2026-07-09 15:32:07.438	thread:http-nio-8082-exec-125	X-Track:9e6ecb96-bd13-45b6-81ad-71f3e84bccd6	level:WARN 	logger:j.o.k.s.r.SeikyusienAPIQueueRepositoryImpl      	message:キュー登録に失敗しました。リトライします。HTTPステータスコード:- エラー内容:sqs.ap-northeast-1.amazon.com
date:2026-07-09 15:32:08.445	thread:http-nio-8082-exec-125	X-Track:9e6ecb96-bd13-45b6-81ad-71f3e84bccd6	level:WARN 	logger:j.o.k.s.r.SeikyusienAPIQueueRepositoryImpl      	message:キュー登録に失敗しました。リトライします。HTTPステータスコード:- エラー内容:sqs.ap-northeast-1.amazon.com
date:2026-07-09 15:32:09.461	thread:http-nio-8082-exec-125	X-Track:9e6ecb96-bd13-45b6-81ad-71f3e84bccd6	level:WARN 	logger:j.o.k.s.r.SeikyusienAPIQueueRepositoryImpl      	message:キュー登録に失敗しました。リトライします。HTTPステータスコード:- エラー内容:sqs.ap-northeast-1.amazon.com
date:2026-07-09 15:32:10.472	thread:http-nio-8082-exec-125	X-Track:9e6ecb96-bd13-45b6-81ad-71f3e84bccd6	level:WARN 	logger:j.o.k.s.r.SeikyusienAPIQueueRepositoryImpl      	message:キュー登録に失敗しました。リトライします。HTTPステータスコード:- エラー内容:sqs.ap-northeast-1.amazon.com
date:2026-07-09 15:32:11.480	thread:http-nio-8082-exec-125	X-Track:9e6ecb96-bd13-45b6-81ad-71f3e84bccd6	level:WARN 	logger:j.o.k.s.r.SeikyusienAPIQueueRepositoryImpl      	message:キュー登録に失敗しました。リトライします。HTTPステータスコード:- エラー内容:sqs.ap-northeast-1.amazon.com
date:2026-07-09 15:32:12.497	thread:http-nio-8082-exec-125	X-Track:9e6ecb96-bd13-45b6-81ad-71f3e84bccd6	level:WARN 	logger:j.o.k.s.r.SeikyusienAPIQueueRepositoryImpl      	message:キュー登録に失敗しました。リトライします。HTTPステータスコード:- エラー内容:sqs.ap-northeast-1.amazon.com
date:2026-07-09 15:32:13.503	thread:http-nio-8082-exec-125	X-Track:9e6ecb96-bd13-45b6-81ad-71f3e84bccd6	level:WARN 	logger:j.o.k.s.r.SeikyusienAPIQueueRepositoryImpl      	message:キュー登録に失敗しました。リトライします。HTTPステータスコード:- エラー内容:sqs.ap-northeast-1.amazon.com
date:2026-07-09 15:32:14.517	thread:http-nio-8082-exec-125	X-Track:9e6ecb96-bd13-45b6-81ad-71f3e84bccd6	level:WARN 	logger:j.o.k.s.r.SeikyusienAPIQueueRepositoryImpl      	message:キュー登録に失敗しました。リトライします。HTTPステータスコード:- エラー内容:sqs.ap-northeast-1.amazon.com
date:2026-07-09 15:32:15.532	thread:http-nio-8082-exec-125	X-Track:9e6ecb96-bd13-45b6-81ad-71f3e84bccd6	level:WARN 	logger:j.o.k.s.r.SeikyusienAPIQueueRepositoryImpl      	message:キュー登録に失敗しました。リトライします。HTTPステータスコード:- エラー内容:sqs.ap-northeast-1.amazon.com
date:2026-07-09 15:32:16.545	thread:http-nio-8082-exec-125	X-Track:9e6ecb96-bd13-45b6-81ad-71f3e84bccd6	level:WARN 	logger:j.o.k.s.r.SeikyusienAPIQueueRepositoryImpl      	message:キュー登録に失敗しました。リトライします。HTTPステータスコード:- エラー内容:sqs.ap-northeast-1.amazon.com
date:2026-07-09 15:32:17.557	thread:http-nio-8082-exec-125	X-Track:9e6ecb96-bd13-45b6-81ad-71f3e84bccd6	level:ERROR	logger:j.o.k.s.r.SeikyusienAPIQueueRepositoryImpl      	message:キュー登録に失敗しました。 HTTPステータスコード:- エラー内容:sqs.ap-northeast-1.amazon.com
jp.or.kikin.seikyusien.exception.QueueException: HTTPステータスコード:- エラー内容:sqs.ap-northeast-1.amazon.com
	at jp.or.kikin.seikyusien.repository.SeikyusienAPIQueueRepositoryImpl.handleNetworkError(SeikyusienAPIQueueRepositoryImpl.java:514)
	at jp.or.kikin.seikyusien.repository.SeikyusienAPIQueueRepositoryImpl.executeWithRetry(SeikyusienAPIQueueRepositoryImpl.java:360)
	at jp.or.kikin.seikyusien.repository.SeikyusienAPIQueueRepositoryImpl.sendQueue(SeikyusienAPIQueueRepositoryImpl.java:180)
	at jp.or.kikin.seikyusien.repository.SeikyusienAPIQueueRepositoryImpl.send(SeikyusienAPIQueueRepositoryImpl.java:111)
	at jp.or.kikin.seikyusien.repository.SeikyusienAPIQueueRepositoryImpl.send(SeikyusienAPIQueueRepositoryImpl.java:98)
	at jp.or.kikin.seikyusien.service.SeikyusienAPIServiceImpl.sendQueue(SeikyusienAPIServiceImpl.java:226)
	at jp.or.kikin.seikyusien.controller.SeikyusienAPIController.onSeikyuKakutei01(SeikyusienAPIController.java:143)
	at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(DirectMethodHandleAccessor.java:103)
	at java.base/java.lang.reflect.Method.invoke(Method.java:580)
	at org.springframework.web.method.support.InvocableHandlerMethod.doInvoke(InvocableHandlerMethod.java:258)
	at org.springframework.web.method.support.InvocableHandlerMethod.invokeForRequest(InvocableHandlerMethod.java:191)
	at org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethod.invokeAndHandle(ServletInvocableHandlerMethod.java:118)
	at org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.invokeHandlerMethod(RequestMappingHandlerAdapter.java:991)
	at org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.handleInternal(RequestMappingHandlerAdapter.java:896)
	at org.springframework.web.servlet.mvc.method.AbstractHandlerMethodAdapter.handle(AbstractHandlerMethodAdapter.java:87)
	at org.springframework.web.servlet.DispatcherServlet.doDispatch(DispatcherServlet.java:1089)
	at org.springframework.web.servlet.DispatcherServlet.doService(DispatcherServlet.java:979)
	at org.springframework.web.servlet.FrameworkServlet.processRequest(FrameworkServlet.java:1014)
	at org.springframework.web.servlet.FrameworkServlet.doPost(FrameworkServlet.java:914)
	at jakarta.servlet.http.HttpServlet.service(HttpServlet.java:590)
	at org.springframework.web.servlet.FrameworkServlet.service(FrameworkServlet.java:885)
	at jakarta.servlet.http.HttpServlet.service(HttpServlet.java:658)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:195)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:140)
	at org.apache.tomcat.websocket.server.WsFilter.doFilter(WsFilter.java:51)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:164)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:140)
	at org.springframework.web.filter.CompositeFilter$VirtualFilterChain.doFilter(CompositeFilter.java:108)
	at org.springframework.web.filter.CompositeFilter$VirtualFilterChain.doFilter(CompositeFilter.java:108)
	at org.springframework.security.web.FilterChainProxy.lambda$doFilterInternal$3(FilterChainProxy.java:231)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:365)
	at org.springframework.security.web.access.intercept.AuthorizationFilter.doFilter(AuthorizationFilter.java:101)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:374)
	at org.springframework.security.web.access.ExceptionTranslationFilter.doFilter(ExceptionTranslationFilter.java:125)
	at org.springframework.security.web.access.ExceptionTranslationFilter.doFilter(ExceptionTranslationFilter.java:119)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:374)
	at org.springframework.security.web.authentication.AnonymousAuthenticationFilter.doFilter(AnonymousAuthenticationFilter.java:100)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:374)
	at org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter.doFilter(SecurityContextHolderAwareRequestFilter.java:179)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:374)
	at org.springframework.security.web.savedrequest.RequestCacheAwareFilter.doFilter(RequestCacheAwareFilter.java:63)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:374)
